id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,0.01,0.41,1.02,1.10,509.78,39.19,BLOCKED_AIRFLOW_SPEED1
1,888,-0.03,0.38,1.04,1.11,588.35,39.19,BLOCKED_AIRFLOW_SPEED1
2,988,-0.01,0.46,1.04,1.14,524.61,39.19,BLOCKED_AIRFLOW_SPEED1
3,1088,-0.01,0.49,1.05,1.16,559.06,39.19,BLOCKED_AIRFLOW_SPEED1
4,1188,0.02,0.48,1.05,1.15,557.22,39.19,BLOCKED_AIRFLOW_SPEED1
5,1288,0.01,0.47,1.04,1.15,1043.00,39.19,BLOCKED_AIRFLOW_SPEED1
6,1388,0.02,0.47,1.04,1.14,nan,39.19,BLOCKED_AIRFLOW_SPEED1
7,1488,0.01,0.46,1.04,1.14,275.45,39.19,BLOCKED_AIRFLOW_SPEED1
8,1588,0.02,0.47,1.04,1.14,219.86,39.19,BLOCKED_AIRFLOW_SPEED1
9,1688,0.01,0.47,1.04,1.14,432.94,39.19,BLOCKED_AIRFLOW_SPEED1
10,1788,0.02,0.46,1.04,1.13,519.77,39.19,BLOCKED_AIRFLOW_SPEED1
11,1888,0.02,0.47,1.04,1.14,220.69,39.19,BLOCKED_AIRFLOW_SPEED1
12,1988,0.02,0.45,1.04,1.13,351.75,39.19,BLOCKED_AIRFLOW_SPEED1
13,2088,0.02,0.47,1.04,1.14,571.77,39.19,BLOCKED_AIRFLOW_SPEED1
14,2188,0.01,0.47,1.04,1.15,305.43,39.19,BLOCKED_AIRFLOW_SPEED1
15,2288,0.01,0.46,1.04,1.14,253.67,39.19,BLOCKED_AIRFLOW_SPEED1
16,2388,0.01,0.47,1.04,1.14,nan,39.19,BLOCKED_AIRFLOW_SPEED1
17,2488,0.01,0.44,1.04,1.13,746.45,39.19,BLOCKED_AIRFLOW_SPEED1
18,2588,0.02,0.46,1.04,1.14,347.93,39.19,BLOCKED_AIRFLOW_SPEED1
19,2688,0.02,0.47,1.05,1.15,284.54,39.19,BLOCKED_AIRFLOW_SPEED1
20,2788,0.03,0.45,1.03,1.12,330.01,39.19,BLOCKED_AIRFLOW_SPEED1
21,2888,0.02,0.47,1.04,1.14,381.48,39.19,BLOCKED_AIRFLOW_SPEED1
22,2988,0.02,0.44,1.03,1.12,521.72,39.19,BLOCKED_AIRFLOW_SPEED1
23,3088,0.03,0.46,1.03,1.13,291.51,39.19,BLOCKED_AIRFLOW_SPEED1
24,3188,0.02,0.46,1.04,1.14,757.33,39.19,BLOCKED_AIRFLOW_SPEED1
25,3288,0.02,0.44,1.03,1.12,588.80,39.19,BLOCKED_AIRFLOW_SPEED1
26,3388,0.03,0.46,1.03,1.13,395.97,39.19,BLOCKED_AIRFLOW_SPEED1
27,3488,0.02,0.43,1.03,1.12,259.24,39.19,BLOCKED_AIRFLOW_SPEED1
28,3588,0.01,0.45,1.03,1.13,318.14,39.19,BLOCKED_AIRFLOW_SPEED1
29,3688,0.03,0.42,1.02,1.10,252.18,39.19,BLOCKED_AIRFLOW_SPEED1
30,3788,0.02,0.44,1.03,1.12,558.96,39.19,BLOCKED_AIRFLOW_SPEED1
31,3888,0.03,0.45,1.03,1.13,254.69,39.19,BLOCKED_AIRFLOW_SPEED1
32,3988,0.03,0.42,1.03,1.11,nan,39.19,BLOCKED_AIRFLOW_SPEED1
33,4088,0.03,0.43,1.03,1.12,175.75,39.19,BLOCKED_AIRFLOW_SPEED1
34,4188,0.03,0.40,1.03,1.11,333.25,39.19,BLOCKED_AIRFLOW_SPEED1
35,4288,0.04,0.42,1.02,1.10,315.05,39.19,BLOCKED_AIRFLOW_SPEED1
36,4388,0.02,0.43,1.03,1.12,454.00,39.19,BLOCKED_AIRFLOW_SPEED1
37,4488,0.04,0.39,1.01,1.09,404.48,39.19,BLOCKED_AIRFLOW_SPEED1
38,4588,0.02,0.42,1.03,1.11,222.95,39.19,BLOCKED_AIRFLOW_SPEED1
