timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
790,0.02,0.38,1.03,1.10,32.36,31.94,OFF
888,0.02,0.39,1.03,1.10,27.38,31.94,OFF
988,0.02,0.38,1.03,1.10,19.97,31.94,OFF
1088,0.02,0.38,1.03,1.10,21.62,31.94,OFF
1188,0.02,0.12,-0.00,0.13,18.49,31.94,OFF
1288,0.02,-0.00,-0.00,0.02,36.44,31.94,OFF
1388,0.02,0.38,1.03,1.10,19.92,31.94,OFF
1488,0.02,0.38,1.03,1.10,20.61,31.94,OFF
1588,0.02,0.38,1.03,1.10,17.76,31.94,OFF
1688,0.02,0.39,1.03,1.10,24.83,31.94,OFF
1788,0.02,0.38,1.03,1.10,26.09,31.94,OFF
1888,0.02,0.39,1.04,1.11,34.24,31.94,OFF
1988,0.02,0.12,-0.00,0.13,28.62,31.94,OFF
2088,0.02,0.39,1.03,1.10,37.08,31.94,OFF
2188,0.02,0.38,1.03,1.10,24.83,31.94,OFF
2288,0.02,0.38,1.03,1.10,21.27,31.94,OFF
2388,0.02,0.38,1.03,1.10,27.61,31.94,OFF
2488,0.02,0.39,1.03,1.10,46.33,31.94,OFF
2588,0.02,0.38,1.03,1.10,46.04,31.94,OFF
2688,0.02,0.39,1.03,1.10,47.37,31.94,OFF
2887,0.02,0.02,0.03,0.04,24.73,31.94,OFF
2988,0.02,0.39,1.03,1.10,25.17,31.94,OFF
3088,0.02,0.12,-0.00,0.13,37.72,31.94,OFF
3188,0.02,0.39,1.02,1.10,15.99,31.94,OFF
3288,0.02,0.12,-0.00,0.13,25.10,31.94,OFF
3387,0.38,-1.96,-0.52,2.06,39.59,31.94,OFF
3488,0.02,0.38,1.02,1.09,18.14,31.94,OFF
3588,0.02,0.38,1.04,1.10,28.84,31.94,OFF
3688,0.02,0.12,-0.00,0.13,51.61,31.94,OFF
3787,0.38,-1.96,-0.52,2.06,21.61,31.94,OFF
3888,0.02,0.12,-0.00,0.13,17.82,31.94,OFF
3987,0.38,-1.96,-0.52,2.06,48.46,31.94,OFF
4088,0.02,0.38,1.03,1.10,33.58,31.94,OFF
4188,0.02,0.38,-0.00,0.38,22.67,31.94,OFF
4287,0.38,-1.96,-0.52,2.06,17.87,31.94,OFF
4388,0.02,0.38,1.03,1.10,26.09,31.94,OFF
4587,0.02,0.02,0.03,0.04,30.12,31.94,OFF
4687,0.38,-1.96,-0.52,2.06,21.89,31.94,OFF
4887,0.02,0.02,0.03,0.04,52.71,31.94,OFF
4988,0.02,0.39,1.03,1.10,30.66,31.94,OFF
5187,0.02,0.02,0.03,0.04,25.85,31.94,OFF
5288,0.02,0.38,1.02,1.09,43.70,31.94,OFF
5487,0.02,0.02,0.03,0.04,26.97,31.94,OFF
5588,0.02,0.39,1.03,1.10,20.64,31.94,OFF
5787,0.02,0.02,0.03,0.04,23.03,31.94,OFF
5888,0.02,0.38,1.02,1.09,32.30,31.94,OFF
6087,0.02,0.02,0.03,0.04,17.51,31.94,OFF
6188,0.02,0.39,1.02,1.10,41.62,31.94,OFF
6288,0.02,0.38,1.03,1.10,17.20,31.94,OFF
6388,0.03,0.39,1.03,1.10,32.03,31.94,OFF
6587,0.02,0.02,0.03,0.04,50.68,31.94,OFF
6688,0.02,0.39,1.03,1.10,22.32,31.94,OFF
6887,0.02,0.02,0.03,0.04,41.48,31.94,OFF
6988,0.02,0.38,1.03,1.10,27.51,31.94,OFF
7187,0.02,0.02,0.03,0.04,29.01,31.94,OFF
7288,0.02,0.38,-0.00,0.38,54.52,31.94,OFF
7388,0.02,0.39,1.03,1.10,15.29,31.94,OFF
7587,0.02,0.02,0.03,0.04,30.90,31.94,OFF
7688,0.02,0.38,1.03,1.10,25.68,31.94,OFF
7788,0.02,0.39,1.03,1.10,42.05,31.94,OFF
7888,0.02,0.39,1.03,1.10,31.69,31.94,OFF
7988,0.02,0.38,1.03,1.10,28.52,31.94,OFF
8187,0.02,0.02,0.03,0.04,29.09,31.94,OFF
8288,0.02,0.38,-0.00,0.38,23.45,31.94,OFF
8388,0.02,0.38,1.03,1.10,48.84,31.94,OFF
8587,0.02,0.02,0.03,0.04,27.42,31.94,OFF
8688,0.02,0.38,1.02,1.09,27.70,31.94,OFF
8788,0.02,0.39,1.03,1.10,49.05,31.94,OFF
8888,0.02,0.38,1.03,1.10,28.15,31.94,OFF
8988,0.02,0.38,1.03,1.10,38.27,31.94,OFF
9187,0.02,0.02,0.03,0.04,58.48,31.94,OFF
9288,0.02,0.39,1.03,1.10,30.99,31.94,OFF
9487,0.02,0.02,0.03,0.04,52.00,31.94,OFF
9588,0.02,0.39,1.03,1.10,27.99,31.94,OFF
9787,0.02,0.02,0.03,0.04,33.52,31.94,OFF
9888,0.02,0.39,1.03,1.10,33.48,31.94,OFF
10087,0.02,0.02,0.03,0.04,39.32,31.94,OFF
10188,0.02,0.38,1.02,1.09,29.23,31.94,OFF
10387,0.02,0.02,0.03,0.04,30.18,31.94,OFF
10488,0.02,0.39,-0.00,0.39,28.08,31.94,OFF
10588,0.02,0.39,1.03,1.10,19.81,31.94,OFF
10787,0.02,0.02,0.03,0.04,33.15,31.94,OFF
11559,0.02,0.38,1.03,1.10,22.50,31.94,OFF
11658,0.02,0.38,0.01,0.38,22.10,31.94,OFF
11758,0.02,0.38,1.03,1.10,26.46,31.94,OFF
11957,0.02,0.02,0.03,0.04,21.80,31.94,OFF
12058,0.02,0.38,1.03,1.10,38.71,31.94,OFF
12158,0.02,0.39,1.03,1.10,38.73,31.94,OFF
12357,0.02,0.02,0.03,0.04,34.66,31.94,OFF
12458,0.02,0.39,1.03,1.10,23.54,31.94,OFF
12558,0.02,0.38,1.03,1.10,56.90,31.94,OFF
12757,0.02,0.02,0.03,0.04,23.84,31.94,OFF
12858,0.02,0.39,1.03,1.10,24.58,31.94,OFF
12958,0.02,0.39,1.03,1.10,58.71,31.94,OFF
13157,0.02,0.02,0.03,0.04,26.12,31.94,OFF
13258,0.02,0.39,1.03,1.10,30.24,31.94,OFF
13358,0.02,0.38,1.03,1.10,55.49,31.94,OFF
13557,0.02,0.02,0.03,0.04,28.20,31.94,OFF
13658,0.02,0.39,1.02,1.10,37.35,31.94,OFF
13758,0.02,0.38,1.03,1.09,23.50,31.94,OFF
13957,0.02,0.02,0.03,0.04,31.86,31.94,OFF
14058,0.02,0.39,1.03,1.10,19.14,31.94,OFF
14158,0.02,0.38,1.03,1.10,27.29,31.94,OFF
14357,0.02,0.02,0.03,0.04,52.80,31.94,OFF
14458,0.02,0.39,1.03,1.10,38.18,31.94,OFF
14558,0.02,0.38,1.03,1.10,13.40,31.94,OFF
14757,0.02,0.02,0.03,0.04,43.67,31.94,OFF
14858,0.02,0.38,1.02,1.09,27.48,31.94,OFF
14958,0.02,0.39,1.03,1.10,32.06,31.94,OFF
15157,0.02,0.02,0.03,0.04,38.14,31.94,OFF
15258,0.02,0.38,1.03,1.10,49.06,31.94,OFF
15358,0.02,0.39,1.03,1.10,16.46,31.94,OFF
15557,0.02,0.02,0.03,0.04,57.32,31.94,OFF
15658,0.02,0.39,1.03,1.10,24.87,31.94,OFF
15758,0.02,0.39,1.03,1.10,55.94,31.94,OFF
15957,0.02,0.02,0.03,0.04,36.06,31.94,OFF
16058,0.02,0.39,1.03,1.10,27.44,31.94,OFF
16158,0.02,0.38,1.03,1.10,39.96,31.94,OFF
16357,0.02,0.02,0.03,0.04,39.52,31.94,OFF
16458,0.02,0.38,1.03,1.10,27.49,31.94,OFF
16558,0.02,0.39,1.03,1.10,27.83,31.94,OFF
16757,0.02,0.02,0.03,0.04,82.23,31.94,OFF
16858,0.02,0.38,1.03,1.10,58.61,31.94,OFF
16958,0.02,0.39,1.03,1.10,78.16,31.94,OFF
17157,0.02,0.02,0.03,0.04,58.49,31.94,OFF
17258,0.02,0.38,1.03,1.10,22.34,31.94,OFF
17358,0.02,0.38,1.03,1.10,40.73,31.94,OFF
17557,0.02,0.02,0.03,0.04,42.45,31.94,OFF
17658,0.02,0.39,1.03,1.10,83.96,31.94,OFF
17758,0.02,0.38,1.03,1.10,122.77,31.94,OFF
17957,0.02,0.02,0.03,0.04,34.51,31.94,OFF
18058,0.02,0.38,1.03,1.09,19.45,31.94,OFF
18158,0.02,0.38,1.02,1.09,37.56,31.94,OFF
18357,0.02,0.02,0.03,0.04,24.86,31.94,OFF
18458,0.02,0.39,1.03,1.10,22.54,31.94,OFF
18558,0.03,0.38,1.03,1.10,28.37,31.94,OFF
18757,0.02,0.02,0.03,0.04,32.02,31.94,OFF
18858,0.02,0.38,1.03,1.10,36.96,31.94,OFF
18958,0.02,0.39,1.04,1.11,29.23,31.94,OFF
19157,0.02,0.02,0.03,0.04,30.23,31.94,OFF
19258,0.02,0.38,1.03,1.10,25.84,31.94,OFF
19358,0.02,0.38,1.03,1.10,25.09,31.94,OFF
19557,0.02,0.02,0.03,0.04,25.30,31.94,OFF
19658,0.02,0.38,1.03,1.10,34.69,31.94,OFF
19758,0.02,0.38,1.03,1.10,50.44,31.94,OFF
19957,0.02,0.02,0.03,0.04,35.15,31.94,OFF
20058,0.02,0.38,1.03,1.10,59.74,31.94,OFF
20158,0.02,0.38,1.03,1.10,42.67,31.94,OFF
20357,0.02,0.02,0.03,0.04,31.35,31.94,OFF
20458,0.02,0.39,1.03,1.10,22.24,31.94,OFF
20558,0.02,0.38,1.03,1.09,48.93,31.94,OFF
20757,0.02,0.02,0.03,0.04,47.32,31.94,OFF
20858,0.02,0.38,1.03,1.10,36.78,31.94,OFF
21629,0.02,0.39,1.03,1.10,42.17,31.94,OFF
21728,0.02,0.38,1.03,1.10,85.89,31.94,OFF
21828,0.02,0.38,1.03,1.10,50.56,31.94,OFF
22027,0.02,0.02,0.03,0.04,123.10,31.94,OFF
22128,0.02,0.38,1.03,1.10,57.87,31.94,OFF
22228,0.02,0.39,1.04,1.11,99.06,31.94,OFF
22427,0.02,0.02,0.03,0.04,114.48,31.94,OFF
22528,0.02,0.38,1.03,1.10,54.50,31.94,OFF
22628,0.02,0.39,1.03,1.10,75.16,31.94,OFF
22827,0.02,0.02,0.03,0.04,32.35,31.94,OFF
22928,0.03,0.38,1.03,1.10,16.86,31.94,OFF
23028,0.02,0.38,1.03,1.10,38.25,31.94,OFF
23227,0.02,0.02,0.03,0.04,37.58,31.94,OFF
23328,0.02,0.39,1.03,1.10,27.16,31.94,OFF
23428,0.02,0.38,1.03,1.10,35.71,31.94,OFF
23627,0.02,0.02,0.03,0.04,50.82,31.94,OFF
23728,0.02,0.39,1.03,1.10,23.37,31.94,OFF
23828,0.02,0.38,1.03,1.10,68.88,31.94,OFF
24027,0.02,0.02,0.03,0.04,30.40,31.94,OFF
24128,0.02,0.38,1.03,1.10,29.96,31.94,OFF
24228,0.02,0.38,1.02,1.09,37.96,31.94,OFF
24427,0.02,0.02,0.03,0.04,39.27,31.94,OFF
24528,0.02,0.39,1.03,1.10,24.15,31.94,OFF
24628,0.02,0.39,1.03,1.10,39.39,31.94,OFF
24827,0.02,0.02,0.03,0.04,32.21,31.94,OFF
24928,0.02,0.38,1.03,1.10,35.83,31.94,OFF
25028,0.02,0.38,1.03,1.10,18.64,31.94,OFF
25227,0.02,0.02,0.03,0.04,20.83,31.94,OFF
25328,0.02,0.38,1.03,1.10,32.30,31.94,OFF
25428,0.02,0.39,1.02,1.09,26.53,31.94,OFF
25627,0.02,0.02,0.03,0.04,27.78,31.94,OFF
25728,0.02,0.38,1.03,1.10,20.71,31.94,OFF
25828,0.02,0.39,1.03,1.10,40.76,31.94,OFF
26027,0.02,0.02,0.03,0.04,24.02,31.94,OFF
26128,0.02,0.38,1.03,1.10,55.02,31.94,OFF
26228,0.02,0.38,1.03,1.10,26.03,31.94,OFF
26427,0.02,0.02,0.03,0.04,17.62,31.94,OFF
26528,0.02,0.38,1.03,1.10,50.77,31.94,OFF
26628,0.03,0.38,1.03,1.10,19.17,31.94,OFF
26827,0.02,0.02,0.03,0.04,22.66,31.94,OFF
26928,0.02,0.39,1.03,1.10,35.90,31.94,OFF
27028,0.02,0.39,1.03,1.10,45.71,31.94,OFF
27227,0.02,0.02,0.03,0.04,39.95,31.94,OFF
27328,0.02,0.38,1.02,1.09,41.67,31.94,OFF
27428,0.03,0.38,1.03,1.10,29.95,31.94,OFF
27627,0.02,0.02,0.03,0.04,40.26,31.94,OFF
27728,0.03,0.39,1.03,1.10,23.71,31.94,OFF
27828,0.02,0.38,1.03,1.10,24.39,31.94,OFF
28027,0.02,0.02,0.03,0.04,25.42,31.94,OFF
28128,0.02,0.38,1.03,1.10,42.38,31.94,OFF
28228,0.02,0.38,1.03,1.10,29.43,31.94,OFF
