id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,0.00,0.39,1.03,1.10,47.29,44.44,IMBALANCE_SPEED2
1,888,0.02,0.39,1.03,1.10,52.68,44.44,IMBALANCE_SPEED2
2,988,0.02,0.39,1.03,1.10,30.19,44.44,IMBALANCE_SPEED2
3,1087,0.38,-1.96,-0.52,2.06,58.68,44.44,IMBALANCE_SPEED2
4,1188,0.02,0.40,1.03,1.11,34.38,44.44,IMBALANCE_SPEED2
5,1287,0.38,-1.96,-0.52,2.06,30.99,44.44,IMBALANCE_SPEED2
6,1388,0.01,0.38,1.03,1.10,67.14,44.44,IMBALANCE_SPEED2
7,1487,0.38,-1.96,-0.52,2.06,45.39,44.44,IMBALANCE_SPEED2
8,1588,-0.01,0.38,1.03,1.10,42.80,44.44,IMBALANCE_SPEED2
9,1687,0.38,-1.96,-0.52,2.06,58.52,44.44,IMBALANCE_SPEED2
10,1788,0.02,0.39,1.03,1.10,52.92,44.44,IMBALANCE_SPEED2
11,1887,0.38,-1.96,-0.52,2.06,58.94,44.44,IMBALANCE_SPEED2
12,1988,0.03,0.39,1.03,1.10,39.87,44.44,IMBALANCE_SPEED2
13,2087,0.38,-1.96,-0.52,2.06,53.15,44.44,IMBALANCE_SPEED2
14,2188,0.00,0.39,1.03,1.10,62.39,44.44,IMBALANCE_SPEED2
15,2287,0.38,-1.96,-0.52,2.06,54.10,44.44,IMBALANCE_SPEED2
16,2388,-0.00,0.38,1.03,1.10,85.05,44.44,IMBALANCE_SPEED2
17,2487,0.38,-1.96,-0.52,2.06,46.00,44.44,IMBALANCE_SPEED2
18,2588,0.07,0.33,1.03,1.09,88.98,44.44,IMBALANCE_SPEED2
19,2687,0.38,-1.96,-0.52,2.06,83.17,44.44,IMBALANCE_SPEED2
20,2788,0.02,0.34,1.06,1.12,78.13,44.44,IMBALANCE_SPEED2
21,2887,0.38,-1.96,-0.52,2.06,75.41,44.44,IMBALANCE_SPEED2
