id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,-0.00,0.39,1.03,1.10,29.82,51.56,LOOSE_MOUNT_SPEED4
1,888,-0.01,0.39,1.03,1.10,38.18,51.56,LOOSE_MOUNT_SPEED4
2,988,-0.00,0.39,1.02,1.10,32.48,51.56,LOOSE_MOUNT_SPEED4
3,1088,-0.00,0.39,1.03,1.10,50.28,51.56,LOOSE_MOUNT_SPEED4
4,1188,0.00,0.40,1.03,1.10,23.33,51.56,LOOSE_MOUNT_SPEED4
5,1288,-0.00,0.39,1.02,1.10,47.86,51.56,LOOSE_MOUNT_SPEED4
6,1388,-0.01,0.39,1.03,1.11,55.71,51.56,LOOSE_MOUNT_SPEED4
7,1487,0.38,-1.96,-0.52,2.06,48.57,51.56,LOOSE_MOUNT_SPEED4
8,1588,-0.02,0.39,1.03,1.10,25.63,51.56,LOOSE_MOUNT_SPEED4
9,1688,-0.00,0.37,1.03,1.10,61.36,51.56,LOOSE_MOUNT_SPEED4
10,1788,-0.00,0.38,1.03,1.10,47.86,51.56,LOOSE_MOUNT_SPEED4
11,1888,-0.00,0.40,1.02,1.10,47.94,51.56,LOOSE_MOUNT_SPEED4
12,1988,-0.03,0.32,0.79,0.85,778.11,51.56,LOOSE_MOUNT_SPEED4
13,2087,0.38,-1.96,-0.52,2.06,384.88,51.56,LOOSE_MOUNT_SPEED4
14,2188,0.07,0.24,1.00,1.03,676.82,51.56,LOOSE_MOUNT_SPEED4
15,2287,0.38,-1.96,-0.52,2.06,434.65,51.56,LOOSE_MOUNT_SPEED4
16,2388,0.12,0.17,1.02,1.04,1065.37,51.56,LOOSE_MOUNT_SPEED4
17,2487,0.38,-1.96,-0.52,2.06,878.27,51.56,LOOSE_MOUNT_SPEED4
18,2588,0.08,0.13,1.00,1.01,336.60,51.56,LOOSE_MOUNT_SPEED4
19,2687,0.38,-1.96,-0.52,2.06,755.29,51.56,LOOSE_MOUNT_SPEED4
20,2788,0.06,0.14,0.99,1.00,1111.11,51.56,LOOSE_MOUNT_SPEED4
21,2887,0.38,-1.96,-0.52,2.06,493.46,51.56,LOOSE_MOUNT_SPEED4
22,2988,-0.00,0.40,1.07,1.14,536.93,51.56,LOOSE_MOUNT_SPEED4
23,3088,0.04,0.36,1.02,1.08,835.46,51.56,LOOSE_MOUNT_SPEED4
24,3188,0.08,0.24,0.96,0.99,1063.02,51.56,LOOSE_MOUNT_SPEED4
