id,timestamp_ms,ax,ay,az,vib_mag,sound,temp,label
0,790,-0.02,0.44,1.04,1.13,1596.30,nan,NORMAL_SPEED2
1,888,-0.02,0.45,1.04,1.13,2054.53,nan,NORMAL_SPEED2
2,988,0.02,0.45,1.02,1.11,1964.12,nan,NORMAL_SPEED2
3,1088,-0.01,0.45,1.05,1.14,2424.21,nan,NORMAL_SPEED2
4,1188,0.05,0.47,1.04,1.15,1402.95,nan,NORMAL_SPEED2
5,1288,-0.01,0.40,1.04,1.11,1973.58,nan,NORMAL_SPEED2
6,1388,0.01,0.37,1.02,1.09,1714.33,nan,NORMAL_SPEED2
7,1488,-0.02,0.43,1.02,1.11,2149.91,nan,NORMAL_SPEED2
8,1588,0.00,0.49,1.02,1.13,1191.06,nan,NORMAL_SPEED2
9,1688,-0.06,0.32,1.01,1.06,2178.39,nan,NORMAL_SPEED2
10,1788,-0.08,0.27,1.03,1.07,1810.25,nan,NORMAL_SPEED2
11,1888,-0.04,0.33,1.03,1.08,2163.63,nan,NORMAL_SPEED2
12,1988,-0.06,0.28,1.02,1.06,2503.40,nan,NORMAL_SPEED2
13,2088,-0.06,0.31,1.02,1.07,1971.44,nan,NORMAL_SPEED2
14,2188,-0.03,0.28,1.01,1.05,2091.57,nan,NORMAL_SPEED2
15,2288,-0.07,0.29,1.02,1.06,1614.80,nan,NORMAL_SPEED2
16,2388,-0.01,0.36,1.02,1.08,1781.60,nan,NORMAL_SPEED2
17,2488,-0.05,0.29,1.00,1.05,2297.71,nan,NORMAL_SPEED2
18,2588,-0.04,0.36,1.02,1.08,2267.03,nan,NORMAL_SPEED2
19,2688,0.02,0.41,1.03,1.11,2292.34,nan,NORMAL_SPEED2
20,2788,-0.00,0.35,1.02,1.08,2651.67,nan,NORMAL_SPEED2
21,2888,0.01,0.41,1.02,1.10,2266.86,nan,NORMAL_SPEED2
22,2988,0.02,0.43,1.03,1.12,2157.40,nan,NORMAL_SPEED2
23,3088,0.04,0.43,1.03,1.12,2234.52,nan,NORMAL_SPEED2
24,3188,0.08,0.42,1.04,1.12,2584.35,nan,NORMAL_SPEED2
25,3288,-0.01,0.50,1.04,1.15,2753.97,nan,NORMAL_SPEED2
26,3388,0.00,0.38,1.04,1.10,2621.74,nan,NORMAL_SPEED2
27,3488,0.04,0.53,1.02,1.15,2833.77,nan,NORMAL_SPEED2
28,3588,0.00,0.51,1.03,1.15,2675.42,nan,NORMAL_SPEED2
29,3688,0.04,0.40,1.00,1.08,2938.24,nan,NORMAL_SPEED2
30,3788,0.02,0.43,0.99,1.07,3184.82,nan,NORMAL_SPEED2
31,3888,0.04,0.51,1.01,1.13,3828.38,nan,NORMAL_SPEED2
32,3988,-0.00,0.42,1.00,1.08,3159.46,nan,NORMAL_SPEED2
33,4088,0.06,0.50,1.01,1.13,3244.75,nan,NORMAL_SPEED2
34,4188,0.04,0.42,1.01,1.10,2954.29,nan,NORMAL_SPEED2
35,4288,-0.02,0.43,1.03,1.11,3046.60,nan,NORMAL_SPEED2
36,4388,-0.02,0.40,1.02,1.10,2776.26,nan,NORMAL_SPEED2
37,4488,0.02,0.45,1.05,1.14,2640.89,nan,NORMAL_SPEED2
38,4588,0.04,0.44,1.04,1.13,2904.72,nan,NORMAL_SPEED2
39,4688,-0.01,0.62,0.99,1.17,2833.68,nan,NORMAL_SPEED2
40,4788,0.06,0.46,1.04,1.14,3076.71,nan,NORMAL_SPEED2
41,4888,-0.06,0.43,1.04,1.12,3039.05,nan,NORMAL_SPEED2
